Test Case,Role,Method,Endpoint,Expected Code,Actual Code,Result,Full Response,Timestamp
Reg Buyer Valid,User,POST,/auth/register,201,201,PASS,"{""message"": ""User registered successfully"", ""user"": {""id"": 5, ""name"": ""B"", ""email"": ""buyer_1769431344813308000@test.com""}}",2026-01-26 18:12:24
Reg Seller Valid,User,POST,/auth/register,201,201,PASS,"{""message"": ""User registered successfully"", ""user"": {""id"": 6, ""name"": ""S"", ""email"": ""seller_1769431344813308000@test.com""}}",2026-01-26 18:12:24
Reg Dup Email,User,POST,/auth/register,409,409,PASS,"{""message"": ""User already exists""}",2026-01-26 18:12:24
Reg Weak Pass,User,POST,/auth/register,400,400,PASS,"{""message"": ""Password must be at least 6 characters""}",2026-01-26 18:12:24
Reg No Email,User,POST,/auth/register,400,400,PASS,"{""message"": ""All fields are required""}",2026-01-26 18:12:24
Reg Bad Email Fmt,User,POST,/auth/register,400,400,PASS,"{""message"": ""Invalid email format""}",2026-01-26 18:12:24
Reg SQLi Name,User,POST,/auth/register,201,201,PASS,"{""message"": ""User registered successfully"", ""user"": {""id"": 7, ""name"": ""' OR 1=1--"", ""email"": ""sqli1769431344813308000@t.com""}}",2026-01-26 18:12:25
Reg Huge Payload,User,POST,/auth/register,"[201, 413, 500]",500,PASS,"{""success"": false, ""message"": ""value too long for type character varying(255)""}",2026-01-26 18:12:25
Login Buyer,User,POST,/auth/login,200,200,PASS,"{""message"": ""Login successful"", ""token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6NSwibmFtZSI6IkIiLCJyb2xlIjoidXNlciIsImNhblNlbGwiOmZhbHNlLCJpYXQiOjE3Njk0MzEzNDUsImV4cCI6MTc2OTUxNzc0NX0.nG8I1oBl-8sX1BB6tqRPQ7lbVECkYMCei9oiSB0cdtE"", ""user"": {""id"": 5, ""name"": ""B"", ""email"": ""buyer_1769431344813308000@test.com"", ""role"": ""user"", ""canSell"": false}}",2026-01-26 18:12:25
Login Seller,User,POST,/auth/login,200,200,PASS,"{""message"": ""Login successful"", ""token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6NiwibmFtZSI6IlMiLCJyb2xlIjoidXNlciIsImNhblNlbGwiOmZhbHNlLCJpYXQiOjE3Njk0MzEzNDUsImV4cCI6MTc2OTUxNzc0NX0.b4Lf5_nt7QTjJjjfkapM1Tc4_Nb84rnrNf63w57qG54"", ""user"": {""id"": 6, ""name"": ""S"", ""email"": ""seller_1769431344813308000@test.com"", ""role"": ""user"", ""canSell"": false}}",2026-01-26 18:12:25
